101	35
89	39
93	39
77	40
83	41
102	41
76	42
82	42
76	43
96	43
64	44
65	44
79	45
80	45
78	46
86	46
81	47
93	47
72	48
83	48
91	48
83	49
96	49
77	50
97	50
69	51
84	51
88	51
92	51
62	52
63	52
103	52
57	54
60	55
72	55
77	55
81	57
99	57
64	58
50	59
70	59
81	59
85	59
61	60
74	60
90	60
67	61
76	61
102	61
80	62
96	62
106	62
52	63
96	63
93	64
78	65
82	65
84	65
109	65
110	65
54	66
55	66
82	66
61	67
91	67
68	68
73	68
55	69
56	69
77	69
103	69
56	70
75	70
79	70
82	71
93	71
62	72
63	72
88	72
101	72
102	72
77	73
78	73
63	74
67	74
68	74
97	74
109	74
110	74
85	75
78	76
114	76
116	76
124	76
58	77
70	78
75	80
77	80
78	80
94	80
95	80
88	81
111	81
118	81
65	82
81	82
106	82
111	82
114	82
140	82
114	83
86	84
110	84
130	84
73	85
109	85
111	85
95	86
96	86
121	86
81	87
89	87
136	87
75	89
92	89
128	89
71	90
99	90
114	90
107	91
123	92
81	93
82	93
97	93
93	94
114	94
139	94
116	95
124	95
145	95
94	96
118	96
103	97
177	97
141	99
78	100
79	100
89	100
106	100
134	100
89	101
97	101
80	102
92	102
124	102
148	102
92	103
98	105
149	105
93	106
106	106
115	106
152	106
140	107
141	107
161	107
129	108
88	109
129	109
110	110
161	110
92	111
182	111
102	113
103	113
118	113
143	113
149	113
142	115
157	118
144	119
181	119
106	120
170	120
103	121
134	121
114	122
127	123
128	123
150	124
113	125
114	125
137	126
160	127
123	129
129	129
147	129
161	129
170	129
126	130
170	130
160	132
108	133
155	134
149	135
182	135
126	136
135	136
141	136
146	136
168	136
170	136
159	137
160	137
133	138
133	139
153	140
104	141
114	141

112	4
121	5
106	6
110	7
113	7
100	8
96	9
100	9
122	9
117	11
125	11
83	12
94	12
102	12
114	12
83	13
84	13
109	13
89	14
92	14
121	14
135	14
93	15
82	16
96	16
110	17
116	17
137	17
85	18
99	18
126	18
77	19
95	19
118	19
73	20
90	20
102	20
73	21
77	21
85	21
109	21
108	22
127	22
82	23
104	23
82	24
115	24
116	24
71	25
71	26
93	26
95	26
63	27
78	27
82	27
92	27
97	27
98	27
130	27
70	28
122	28
106	29
110	29
50	30
62	30
102	30
117	31
126	31
69	33
81	33
106	33
112	33
61	34
95	34
35	35
50	35
51	35
67	35
87	35
67	36
77	36
106	36
107	36
56	37
71	37
87	37
88	37
100	37
106	37
107	37
101	38
95	39
23	40
117	40
54	41
59	41
28	42
35	42
62	42
74	42
86	42
42	44
70	44
97	44
103	44
56	45
79	46
104	46
53	47
62	47
76	47
80	47
35	48
47	48
96	48
43	49
59	50
85	50
86	50
23	52
39	52
65	52
30	53
31	53
51	53
69	54
79	54
88	54
94	55
40	56
43	56
52	57
66	57
14	58
31	58
47	58
24	59
39	59
31	60
73	60
49	61
22	62
25	63
55	63
62	63
88	63
71	64
44	65
38	66
68	66
79	66
23	67
12	68
20	68
34	68
57	68
18	69
20	69
33	69
34	69
41	69
66	69
28	70
48	70
66	70
28	71
50	71
12	72
7	74
40	74
19	75
59	75
19	76
30	76
54	76
17	77
7	78
42	78
47	78
67	78
20	79
42	79
13	80
28	80
29	80
63	80
28	81
40	81
41	81
36	82
13	83
39	83
55	83
10	84
33	84
43	85
19	86
29	86
11	87
15	87
22	87
39	87
51	87
6	88
9	91
20	91
43	92
35	93
5	95
9	95
10	95
14	95
25	95
29	95
17	97
19	100
3	101
21	101
13	102
