3.5	34.05	3
3.85	33.05	3
3.8	32	3
4.4	31.9	3
4.75	31.05	3
5.65	30.4	3
6.1	30.75	3
6.7	30	3
7.4	30.1	3
8.15	29.5	3
8	30.75	3
7.35	30.85	3
6.75	31.5	3
5.95	31.75	3
6.45	32.35	3
6	32.8	3
5.1	32.05	3
4.8	32.8	3
4.4	32.65	3
4.6	33.65	3
5.15	33.05	3
5.45	33.6	3
5.05	34.5	3
4.65	34.9	3
4.1	35.45	3
4.05	34.6	3
4.2	34.2	3
5.2	36.3	3
5.35	35.55	3
6.05	35.95	3
5.85	34.8	3
6.15	33.7	3
6.6	33.95	3
7.05	33.7	3
7.1	32.75	3
7.65	32.3	3
7.9	33	3
8.15	31.95	3
8.65	31.15	3
8.85	30.35	3
9	29.85	3
9.15	30.7	3
9.9	29.7	3
9.95	30.45	3
9.85	30.95	3
9.45	31.8	3
8.8	32.45	3
8.6	33.55	3
7.7	34.35	3
8	34.7	3
7.25	34.6	3
6.8	35	3
7.35	35.5	3
7.5	36.1	3
7	36.55	3
8.2	36	3
8.05	35.35	3
8.65	36.55	3
9.1	36.4	3
9.1	35.5	3
8.85	34.55	3
9.4	35.25	3
9.5	34.4	3
9.3	33.5	3
9.8	33.85	3
9.65	32.5	3
10.25	32.3	3
10.3	33.3	3
10.5	31.6	3
10.5	30.6	3
11.1	30.4	3
11.45	30.9	3
11.65	30.7	3
12.05	30.4	3
12	31.2	3
11.35	31.95	3
11.05	31.65	3
11.15	32.95	3
11.7	32.65	3
12.25	32.25	3
12.25	32.05	3
12.7	31.3	3
12.95	31.95	3
13.1	32.75	3
13.2	33.15	3
12.75	33.1	3
12.1	33.15	3
11.75	34.3	3
10.85	34	3
11	34.65	3
10.1	34.8	3
9.85	35.65	3
10	36.35	3
10.75	35.55	3
11.55	35.8	3
11.75	35.2	3
11.75	34.7	3
12.75	34.95	3
12.55	34.05	3
13.05	34.05	3
13.7	33.25	3
14.15	33.2	3
14.7	33.25	6
15.15	33	6
15.65	32.95	6
16.15	32.6	6
16.75	32.45	6
17.05	32.65	6
17.3	32.75	6
17.2	31.75	6
17.65	31.7	6
17.5	31	6
17.9	31.15	6
18.05	30.45	6
18.8	30.05	6
18.8	30.55	6
19.3	30.5	6
19.4	30.25	6
19.85	29.6	6
20.55	29.15	6
20.45	30.25	6
20.05	30.7	6
19.9	31	6
19.65	31.55	6
18.55	31.5	6
18.6	32.05	6
19.1	31.95	6
18.35	32.6	6
17.95	32.85	6
17.45	33.45	6
17	33.7	6
17.35	34.25	6
18.05	34.3	6
18.4	33.85	6
18.85	33.05	6
18.95	33.25	6
19.15	32.8	6
19.85	32.3	6
20	32.8	6
20.25	31.75	6
20.75	31.75	6
21.15	32.1	6
21.6	31.55	6
21.3	30.65	6
21.6	29.95	6
21.6	29.5	6
22.05	30.35	6
22	31.05	6
22.2	31.55	6
22.65	30.95	6
23.1	30.3	6
23.15	29.6	6
22.55	29.35	6
23.85	29.2	6
24	30.75	6
24.15	30.95	6
23.7	31.45	6
23.15	31.95	6
22.05	32.55	6
22.55	32.6	6
22.25	33.25	6
21.9	33.65	6
21.3	33.5	6
20.75	33.1	6
20.4	33.8	6
20	33.85	6
19.3	34.15	6
18.85	34.85	6
18.55	35.3	6
19.35	35.4	6
19.75	34.55	6
20	35.05	6
19.85	35.95	6
20.6	36.35	6
20.55	35.5	6
20.65	34.45	6
21.25	34.4	6
21.05	35	6
21.3	35.75	6
21.5	35.05	6
22.05	34.6	6
21.75	34.2	6
21.95	36.25	6
22.3	35.7	6
22.9	35.5	6
23.25	35.85	6
23.8	36.3	6
24.1	35.45	6
23.5	34.9	6
22.9	34.2	6
23.3	33.85	6
23.35	33.25	6
23.7	32.45	6
23.9	33.6	6
23.95	34.25	6
24.1	34.25	6
24.7	35.4	6
25.3	35.15	6
24.9	34.4	6
24.85	33.7	6
24.45	32.25	6
24.7	32.5	6
24.45	31.45	6
25.2	31.55	6
25	31.05	6
24.3	30.25	6
24.8	29.8	6
25.5	29.6	6
26.05	29.7	6
25.5	30.5	6
26	30.65	6
26.05	31.25	6
26.95	31.45	6
26.9	30.75	6
27.15	30.65	6
27.85	31.25	6
27.75	31.85	6
28.2	32.7	6
27.55	33.25	6
27.1	32.4	6
26.65	32.15	6
25.95	32.35	6
25.5	32.95	6
26.05	33.85	6
26.5	33.05	6
27	33.65	6
27.35	34.1	6
27.95	34.2	6
26.85	34.65	6
26	35.25	6
26.15	35.7	6
25.6	34.4	6
